inhal,DB update status,Curator,level1,level2,level3,level4,level5,level6,level7,level8,PARENT TERMS (optional),HAS_FOR,TERM,DEFINITION,Mapping,EXACT SYNONYMS,BROAD SYNONYMS,NARROW SYNONYMS,RELATED SYNONYMS,DB_SYNONYMS,ASSOCIATED PROCESS,ASSOCIATED ROLE,ASSOCIATED PHYSIOLOGICAL EFFECT,ASSOCIATED BIOLOGICAL LOCATION,TERM SOURCE,ORIGINAL_DEFINITION_SOURCE,SOURCE_OF_DEFINITION,COMMENT,SUGGESTED MAIN TERM
,,Naama,Physiological Effect,Health Effect,Health Condition,System Disorder,Hematological System Disorder,Thrombocytic Disorder,,,,,Thrombocytosis,A blood platelet disease that is characterized by the presence of high platelet counts in the blood. (DO),platelet; blood,,,,,DOID:2228,,,,,,Disease Ontology (DO),,,
Modify,23-04-18,Zach,Physiological Effect,Health Effect,Health Condition,System Disorder; Molecular Disorder,Hematological System Disorder,Thrombocytic Disorder,,,,,Hypercoagulability,A disorder characterized by an increased risk of thrombosis due to abnormal blood coagulation.,blood,Thrombophilia,,,,,,,,,human-phenotype-ontology,,,,
,,An Chi,Physiological Effect,Health Effect,Health Condition,System Disorder,Endocrine System Disorder,Thyroidal or Parathyroidal Disorder,,,,,Athyreosis,"A form of  the condition thyroid dysgenesis characterized by complete absence of thyroid tissue that results in primary congenital hypothyroidism, a permanent thyroid deficiency that is present from birth.",thyroid,Congenital nongoitrous hypothyroidism; Thyroid dysgenesis; Thyroid agenesis; Thyroid hypoplasia; Athyreotic hypothyroidism; Primary congenital hypothyroidism,,,,,,,,,HMDB,,,,
Modify,23-04-18,Zach,Physiological Effect,Health Effect,Health Condition,System Disorder,Endocrine System Disorder,Thyroidal or Parathyroidal Disorder,,,,,Thyroid dysfunction,"A disorder characterized  by various thyroid problems which may range from a small, harmless goiter (enlarged gland) that needs no treatment to life-threatening cancer.",thyroid,Thyroid disease; Hypothyroidism; Hyperthyroidism; Goitre; Cretinism.,,,,,,,,,HMDB,,,,
Modify,23-04-18,Zach,Physiological Effect,Health Effect,Health Condition,System Disorder,Endocrine System Disorder,Thyroidal or Parathyroidal Disorder,,,,,Thyroiditis,A disorder characterized by inflammation of the thyroid gland.,thyroid,,,,,,,,,,human-phenotype-ontology,,,,
,,Naama,Physiological Effect,Health Effect,Health Condition,System Disorder; Cancer,Endocrine System Disorder,Thyroidal or Parathyroidal Disorder,,,,,Thyroid adenoma,A disorder characterized by the presence of a adenoma of the thyroid gland,thyroid,Thyroid adenoma (HP:0000854); Thyroid Adenoma (UMLS:C0151468),,,,HP:0000854,,,,,human-phenotype-ontology,,TMIC team,,
,,Naama,Physiological Effect,Health Effect,Health Condition,System Disorder; Cancer,Endocrine System Disorder,Thyroidal or Parathyroidal Disorder,,,,,Thyroid cancer,An endocrine gland cancer located in the thryoid gland located in the neck below the thyroid cartilage. (DO),thyroid,,,,,DOID:1781,,,,,HMDB,Disease Ontology (DO),,,
,,Naama,Physiological Effect,Health Effect,Health Condition,System Disorder; Cancer,Endocrine System Disorder,Thyroidal or Parathyroidal Disorder,,,,,Thyroid carcinoma,A thyroid cancer that has material basis in epithelial cells. (DO),thyroid,,,,,DOID:3963,,,,,,Disease Ontology (DO),,,
,,Naama,Physiological Effect,Health Effect,Health Condition,Infection or Infestation; System Disorder,Urinary System Disorder,Urinary Tract Disorder,,,,,Urinary tract infection,"A disorder characterized by an infectious process involving the urinary tract, most commonly the bladder and the urethra. (NCI CTCAE)",bladder; urethra,UTI,,,,,,,,,,NCI CTCAE,,,
Modify,20-Jan-18,Naama,Physiological Effect,Health Effect,Health Condition,System Disorder; Cancer,Urinary System Disorder,Urinary Tract Disorder,,,,,Bladder cancer,A malignant neoplasm of the urinary bladder,bladder,,,,,,,,,,,NCI thesaurus,,,
Modify,8-Nov-17,Naama,Physiological Effect,Health Effect,Health Condition,System Disorder; Infection or Infestation,Urinary System Disorder,Urinary Tract Disorder,,,,,Bladder infection,A disorder characterized by an infectious process involving the bladder. (NCI CTCAE),bladder,,,,,,,,,,HMDB,NCI CTCAE,,,
Modify,03/19/2018,Zach,Physiological Effect,Health Effect,Health Condition,System Disorder; Molecular Disorder,Genetic Disorder; Nervous System Disorder,Urine Disorder,,,Organic acidemia,,2-ketoadipic acidemia,"An autosomal recessive (Gene DHTKD1) neurometabolic disorder, caused by a defect in the catabolic pathway of tryptophan, lysine, and hydroxylysine , characterized by the significant elevation of urinary levels of 2-ketoadipic, 2-aminoadipic, and 2-hydroxyadipic acids. Patients with the aforementioned biochemical profile have been described with a wide range of clinical presentations, from early-onset developmental delay, epilepsy, ataxia, and microcephaly to completely normal. (OMIM)",,alpha-ketoadipic acidemia; alpha-ketoadipic aciduria; 2-ketoadipic aciduria; Ketoadipicaciduria,,,,,,,,,,HMDB,,,
Modify,03/19/2018,Zach,Physiological Effect,Health Effect,Health Condition,System Disorder; Molecular Disorder,Genetic Disorder; Nervous System Disorder; Urinary System Disorder,Urine Disorder,,,Organic acidemia,,2-Aminoadipic acidemia,"An autosomal recessive (Gene DHTKD1) amino acid neurometabolic disorder characterized by the significant elevation of urinary levels of 2-oxoadipic acid and 2-hydroxyadipic acid. Patients with the aforementioned biochemical profile have been described with a wide range of clinical presentations, from early-onset developmental delay, epilepsy, ataxia, and microcephaly to completely normal. (OMIM)",,Aminoadipic aciduria; alpha-Aminoadipic aciduria; 2-aminoadipic 2-oxoadipic aciduria;,,,,,,,,,,HMDB,,,2-aminoadipic 2-oxoadipic aciduria
Modify,03/19/2018,Zach,Physiological Effect,Health Effect,Health Condition,System Disorder; Molecular Disorder,Genetic Disorder; Nervous System Disorder; Urinary System Disorder,Urine Disorder,,,Organic acidemia,,2-hydroxyglutaric acidemia,An autosomal recessive  (Gene L2HGDH) amino acid neurometabolic disorder characterized by the significant elevation of urinary levels of hydroxyglutaric acid causing progressive brain damage. (DO),,L-2-hydroxyglutaric aciduria; L-2-hydroxyglutaric acidemia,,,,DOID:0050573,,,,,,Disease Ontology (DO),,,
Modify,23-04-18,Zach,Physiological Effect,Health Effect,Health Condition,System Disorder; Molecular Disorder,Urinary System Disorder,Urine Disorder,,,,,Homocitrullinuria,A disorder characterized by elevated urinary levels of homocitrulline.,urine,,,,,,,,,,HMDB,,,,
,,Zach,Physiological Effect,Health Effect,Health Condition,System Disorder; Molecular Disorder,Genetic Disorder; Urinary System Disorder,Urine Disorder; Inborn Error of Metabolism,,,3-Methylglutaconic aciduria,,3-Methylglutaconic aciduria type I,An autosomal recessive (Gene AUH) metabolic disorder characterized urinary excretion of 3-methylglutaconic acid and its derivatives 3-methylglutaric acid and 3-hydroxyisvaleric acid.,urine,"3-Methylglutaconyl-CoA Hydratase Deficiency; 3-Methylglutaconic aciduria type I; 3-methylglutaconic aciduria type 1 (DOID: 0110002); MGA, type I; MGA1; MGCA1",,,,,,,,,HMDB,Disease Ontology (DO),TMIC team,,
,,Zach,Physiological Effect,Health Effect,Health Condition,System Disorder; Molecular Disorder,Genetic Disorder; Urinary System Disorder,Urine Disorder; Inborn Error of Metabolism,,,3-Methylglutaconic aciduria,,"3-Methylglutaconic aciduria type II, X-linked","An X-linked recessive (Gene TAZ) metabolic disorder characterized by dilated cardiomyopathy (CMD) with endocardial fibroelastosis (EFE), a predominantly proximal skeletal myopathy, growth retardation, neutropenia, and organic aciduria, particularly excess of 3-methylglutaconic acid.",heart,"Barth syndrome; MGA, type II; MGA2; MGCA2; Cardioskeletal myopathy with neutropenia and abnormal mitochondria",,,,,,,,,HMDB,,,,
Modify,04/23/2018,Zach,Physiological Effect,Health Effect,Health Condition,System Disorder; Molecular Disorder,Genetic Disorder; Urinary System Disorder,Urine Disorder; Inborn Error of Metabolism,,,Organic acidemia,,3-Hydroxy-3-methylglutaryl-CoA lyase deficiency,"An autosomal recessive (Gene HMGCL) metabolic disorder of a congenital organic acidemia form characterized by a pattern of elevated urinary organic acid metabolites, including 3-hydroxy-3-methylglutaric, 3-methylglutaric, and 3-hydroxyisovaleric acids. HMGCL deficiency leads to an inability to metabolize leucine and synthesize ketones. (NIH)",urine,Hydroxymethylglutaric aciduria; HMG-CoA lyase deficiency; 3-HMG acidemia; 3-hydroxy-3-methyl glutaric acidemia; 3-hydroxy-3-methylglutaric acidemia; 3-hydroxy-3-methylglutaric acidemia; HMG-CoA Lyase Deficiency; HMGCL Deficiency; HL Deficiency; ,,,,,,,,,HMDB,,,,
Modify,04/23/2018,Zach,Physiological Effect,Health Effect,Health Condition,System Disorder; Molecular Disorder,Genetic Disorder; Urinary System Disorder,Urine Disorder; Inborn Error of Metabolism,,,Organic acidemia,,3-Methylglutaconic aciduria,An organic acidemia that is characterized by elevated levels of 3-methylglutaconic acid and 3-methylglutaric acid in the urine. (DO),urine,MGA,,,,DOID:0060336,,,,,HMDB,Disease Ontology (DO),,,
,,Zach,Physiological Effect,Health Effect,Health Condition,System Disorder; Molecular Disorder,Genetic Disorder; Urinary System Disorder,Urine Disorder; Inborn Error of Metabolism,,,,,3-Methylglutaconic aciduria,A group of inborn error of metabolism disorders characterized by elevated urinary concentrations of 3-methylglutaconic acid.,urine,MGA; MGCA;,,,,,,,,,,,,,
,,Zach,Physiological Effect,Health Effect,Health Condition,System Disorder; Molecular Disorder,Genetic Disorder; Urinary System Disorder; Circulatory System Disorder,Urine Disorder; Inborn Error of Metabolism,,,3-Methylglutaconic aciduria,,3-Methylglutaconic aciduria type V,An autosomal recessive (Gener DNAJC19) metabolic disorder characterized by the onset of dilated or noncompaction cardiomyopathy in infancy or early childhood.,heart,"MGA, type V; MGA5; MGCA5; Dilated cardiomyopathy with ataxia; DCMA",,,,,,,,,,,,,
,,Zach,Physiological Effect,Health Effect,Health Condition,System Disorder; Molecular Disorder,Genetic Disorder; Urinary System Disorder; Nervous System Disorder,Urine Disorder; Inborn Error of Metabolism,,,3-Methylglutaconic aciduria,,3-Methylglutaconic aciduria type III,"An autosomal recessive (Gene OPA3) metabolic disorder consisting of early-onset bilateral optic atrophy and later-onset spasticity, extrapyramidal dysfunction, and cognitive deficit disorder.  Urinary excretion of 3-methylglutaconic acid and of 3-methylglutaric acid is increased.",urine,"MGA, type III; MGA3; MGCA3; Optic atrophy plus syndrome; Iraqi-Jewish optic atrophy plus; Costeff syndrome; Autosomal recessive optic aptrophy 3; Autosomal recessive OPA3;",,,,,,,,,,,,,
Modify,04/23/2018,Zach,Physiological Effect,Health Effect,Health Condition,System Disorder; Molecular Disorder,Urinary System Disorder; Non-Genetic or Non-Specified Gene Disorder,Urine Disorder; Metabolic Disorder,,,Organic acidemia,,3-Hydroxyisobutyric aciduria,A disorder characterized by elevated urinary levels of 3-hydroxyisobutyric acid.,urine,,,,METHYLMALONATE SEMIALDEHYDE DEHYDROGENASEDEFICIENCY,,,,,,HMDB,,,,
,,Naama,Physiological Effect,Health Effect,Health Condition,Mental or Behavioural Disorder,Adult Personality Disorder,,,,,,Depersonalization disorder,A dissociative disorder in which the sufferer is affected by persistent or recurrent feelings of depersonalization and/or derealization. (DO),,Depersonalization syndrome,,,,DOID:11038,,,,,HMDB,Disease Ontology (DO),,,
,,Naama,Physiological Effect,Health Effect,Health Condition,Infection or Infestation;System Disorder,Bacterial Infection,,,,,,Tuberculosis,"A primary bacterial infectious disease that is located in lungs, located in lymph nodes, located in pericardium, located in brain, located in pleura or located in gastrointestinal tract, has material basis in Mycobacterium tuberculosis, which is transmitted by droplets released into the air when an infected person coughs or sneezes. (DO)",lung; lymph node; brain; pericardium; pleura; gastrointestinal tract,TB,,,,DOID:399,,,,,HMDB,Disease Ontology (DO),,,
Modify,23-04-18,Zach,Physiological Effect,Health Effect,Health Condition,Mental or Behavioural Disorder,Behavioural Syndrome with Physiological Disturbances,,,,Premenstrual syndrome,,Premenstrual dysphoric disorder,"A disorder characterized as a severe form of premenstrual syndrome in which a woman has severe depression symptoms, irritability, and tension before menstruation.",,PMDD.,,,,,,,,,HMDB,,,,
delete,19-Jan-18,Naama,Physiological Effect,Health Effect,Health Condition,Mental or Behavioural Disorder,Behavioural Syndrome with Physiological Disturbances,,,,,,Anorexia nervosa,"An eating disorder characterized by refusal to maintain a healthy body weight, and an obsessive fear of gaining weight due to a distorted self image. (DO)",,Anorexia,,,,DOID:8689,,,,,HMDB,Disease Ontology (DO),,,
Modify,20-Jan-18,Naama,Physiological Effect,Health Effect,Health Condition,Mental or Behavioural Disorder,Behavioural Syndrome with Physiological Disturbances,,,,,,Bulimia nervosa,An eating disorder characterized by the restraining of food intake for a period of time followed by an over intake or binging period that results in feelings of guilt and low self-esteem. (DO),,bulimia,,,,DOID:12129,,,,,HMDB,Disease Ontology (DO),,,
,,Naama,Physiological Effect,Health Effect,Health Condition,Mental or Behavioural Disorder,Behavioural Syndrome with Physiological Disturbances,,,,,,Postpartum depression,"An endogenous depression that involves intense, sustained and sometimes disabling depression experienced by women after giving birth. (DO)",,Postnatal depression; PPD,,,,DOID:9478,,,,,HMDB,Disease Ontology (DO),,,
Modify,23-04-18,Zach,Physiological Effect,Health Effect,Health Condition,Mental or Behavioural Disorder,Behavioural Syndrome with Physiological Disturbances,,,,,,Premenstrual syndrome,A disorder characterized as a wide variety of physical and emotional symptoms that occur one or two weeks before a woman's period.,,PMS,,,,,,,,,,,,,
Modify,23-04-18,Zach,Physiological Effect,Health Effect,Health Condition,Mental or Behavioural Disorder,Behavioural Syndrome with Physiological Disturbances,,,,,,Prepartum depression,A psychological disorder characterized as a form of clinical depression that can affect a woman during pregnancy.,,Antenatal depression.,,,,,,,,,HMDB,,,,
Modify,23-04-18,Zach,Physiological Effect,Health Effect,Health Condition,Mental or Behavioural Disorder,Behavioural Syndrome with Physiological Disturbances,,,,,,Violent behavior,A psychological disorder characterized as an intention to cause physical or emotional harm to others.,,,,,,,,,,,human-phenotype-ontology,,,,
Modify,23-04-18,Zach,Physiological Effect,Health Effect,Health Condition,System Disorder,Circulatory System Disorder; Hematological System Disorder,,,,Sepsis,,Septic shock,A disorder characterized by organ injury or damage in response to infection leading to dangerously low blood pressure and abnormalities in cellular metabolism.,,Endotoxic Shock,,,,,,,,,HMDB,,,,
Modify,23-04-18,Zach,Physiological Effect,Health Effect,Health Condition,System Disorder,Circulatory System Disorder; Hematological System Disorder,,,,,,Shock,A disorder characterized by low blood perfusion to tissues resulting in cellular injury and inadequate tissue function which maybe be life-threatening.,,,,,,,,,,,HMDB,,,,
,,Naama,Physiological Effect,Health Effect,Health Condition,System Disorder; Infection or Infestation,Digestive System Disorder,,,,,,Abdominal infection,A disorder characterized by an infectious process involving the abdominal cavity. (NCI CTCAE),,,,,,,,,,,,NCI CTCAE,,,
Modify,8-Nov-17,Naama,Physiological Effect,Health Effect,Health Condition,System Disorder,Male Reproductive System Disorder; Female Reproductive System Disorder,,,,,,Delayed puberty,A disorder characterized by unusually late sexual maturity. (NCI CTCAE),,,,,,,,,,,,NCI CTCAE,,,
Modify,23-04-18,Zach,Physiological Effect,Health Effect,Health Condition,System Disorder,Male Reproductive System Disorder; Female Reproductive System Disorder,,,,,,Pubertal Failure,A disorder characterized by a lack of pubertal development.,,,,,,,,,,,,NCI thesaurus,,,
,,,Physiological Effect,Health Effect,Health Condition,Infection or Infestation; System Disorder,Female Reproductive System Disorder,,,,Candidiasis,,Yeast Infection,A fungal infection of the vagina by the Candida species.,vagina,,,,,,,,,,,,,,
,,Naama,Physiological Effect,Health Effect,Health Condition,Infection or Infestation; System Disorder,Female Reproductive System Disorder,,,,,,Pelvic Inflammatory Disease,A disorder characterized by an infectious process involving the the upper female reproductive organs.,uterus; fallopian tube; ovary; pelvis,PID,,,,,,,,,,NCI CTCAE,,,
,,Naama,Physiological Effect,Health Effect,Health Condition,System Disorder; Cancer,Female Reproductive System Disorder,,,,,,Cervical cancer,A female reproductive organ cancer that is located in the cervix. (DO),cervix,,,,,DOID:4362,,,,,HMDB,Disease Ontology (DO),,,
,,Naama,Physiological Effect,Health Effect,Health Condition,System Disorder; Cancer,Female Reproductive System Disorder,,,,,,Endometrial cancer,A uterine cancer that is located in tissues lining the uterus. (DO),uterus,"Endometrial cancer, familial; Endometrial carcinoma, somatic; Endometrial cancer; Endometrial carcinoma, somatic.",,,,DOID:1380,,,,,HMDB,Disease Ontology (DO),,,
Modify,23-04-18,Zach,Physiological Effect,Health Effect,Health Condition,System Disorder; Cancer,Female Reproductive System Disorder,,,,,,Gestational trophoblastic disease,A disorder characterized by proliferation of tumors in a woman's utertus.,uterus,GTD; Gestational trophoblastic neoplasia,,,,,,,,,HMDB,,,,
,,Naama,Physiological Effect,Health Effect,Health Condition,System Disorder; Cancer,Female Reproductive System Disorder,Ovarian Disorder,,,,,Ovarian cancer,A female reproductive organ cancer that is located in the ovary. (DO),ovary,Ovarian neoplasm,,,,DOID:2394,,,,,HMDB,Disease Ontology (DO),,,
Modify,20-Jan-18,Naama,Physiological Effect,Health Effect,Health Condition,System Disorder; Molecular Disorder,Genetic Disorder,,,,,,Adenine phosphoribosyltransferase deficiency,"An autosomal recessive (Gene APRT) amino acid metabolism disorder that can lead to accumulation of the insoluble purine 2,8-dihydroxyadenine (DHA) in the kidney, which results in crystalluria and the formation of urinary stones.",kidney; urine,APRT deficiency,,,,DOID:0060350,,,,,HMDB,Disease Ontology (DO),,,
Modify,23-04-18,Zach,Physiological Effect,Health Effect,Health Condition,System Disorder; Molecular Disorder,Genetic Disorder,,,,,,Mulibrey nanism,"An autosomal recessive (Gene TRIM37) growth disorder with prenatal onset, including occasional progressive cardiomyopathy, characteristic facial features, failure of sexual maturation, insulin resistance with type 2 diabetes, and an increased risk for Wilms tumor. (OMIM)",,Perheentupa syndrome; pericardial constriction with growth failure; MUSCLE-LIVER-BRAIN-EYE NANISM.,,,,,,,,,HMDB,,,,
,,Naama,Physiological Effect,Health Effect,Health Condition,System Disorder; Infection or Infestation,Helminthiasis,,,,,,Schistosomiasis,"A parasitic helminthiasis infectious disease that involves infection of the intestine, urinary tract, skin, liver and spleen caused by multiple species of the trematode fluke of the genus Schistosoma. The symptoms include fever, chills, nausea, abdominal pain, diarrhea, malaise, myalgia, liver and spleen enlargement, rash and hematuria. (DO)",intestine; urinary tract; skin; liver; spleen; urine,Snail fever; Bilharziosis; Bilharzia,,,,DOID:1395,,,,,HMDB,Disease Ontology (DO),,,
Modify,8-Nov-17,Naama,Physiological Effect,Health Effect,Health Condition,Infection or Infestation; System Disorder,Hematological System Disorder,,,,,,Sepsis,A disorder characterized by the presence of pathogenic microorganisms in the blood stream that cause a rapidly progressing systemic reaction that may lead to shock. (NCI CTCAE),blood,Septicaemia; Septicemia,,,,,,,,,HMDB,NCI CTCAE,,,
,,Naama,Physiological Effect,Health Effect,Health Condition,System Disorder; Cancer,Hematological System Disorder,,,,,,Acute leukemia,"A leukemia that occurs when a hematopoietic stem cell undergoes malignant transformation into a primitive, undifferentiated cell with abnormal longevity. These lymphocytes (acute lymphocytic leukemia [ALL]) or myeloid cells (acute myelocytic leukemia [AML]) proliferate abnormally, replacing normal marrow tissue and hematopoietic cells and inducing anemia, thrombocytopenia, and granulocytopenia. (DO)",blood; bone marrow,Acute lymphocytic leukemia; ALL,,,,DOID:12603,,,,,HMDB,Disease Ontology (DO),,,
Modify,23-04-18,Zach,Physiological Effect,Health Effect,Health Condition,System Disorder; Cancer,Hematological System Disorder,,,,,,Myelodysplastic syndrome ,A bone marrow cancer characterized as the failure of bone marrow to make enough healthy blood cells and thus there are blast cells in the blood and/or bone marrow.,blood; bone marrow,MDS,,,,,,,,,HMDB,,,,
Modify,04/23/2018,Zach,Physiological Effect,Health Effect,Health Condition,System Disorder; Molecular Disorder,Hematological System Disorder; Respiratory System Disorder,,,,,,Anoxia,A condition in which the body or a region of the body is deprived of adequate oxygen typically tissue (hypoxia) or blood (hypoxemia).,,,,Hypoxia; Hypoxemia,,,,,,,HMDB,,,,
Modify,23-04-18,Zach,Physiological Effect,Health Effect,Health Condition,System Disorder,Immune System Disorder,,,,Allergy,,Hay fever,"A disorder characterized by an inflammation in the nose which occurs when the immune system overreacts to allergens in the air,",immune system,Allergic rhinitis,,,,,,,,,,,,,
Modify,08-Nov-17,Zach,Physiological Effect,Health Effect,Health Condition,System Disorder,Immune System Disorder,,,,,,AIDS,"A disease of the immune system due to infection with HIV. HIV destroys the CD4 T lymphocytes (CD4 cells) of the immune system, leaving the body vulnerable to life-threatening infections and cancers. Acquired immunodeficiency syndrome (AIDS) is the most advanced stage of HIV infection. (NIH)",immune system,HIV; Acquired immunodeficiency syndrome; Acquired immune deficiency syndrome,,,,,,,,,,HMDB,,,
Modify,8-Nov-17,Naama,Physiological Effect,Health Effect,Health Condition,System Disorder,Immune System Disorder,,,,,,Allergy,A disorder characterized by an adverse local or general response from exposure to an allergen. (NCI CTCAE),,Allergic reaction,,,,,,,,,,NCI CTCAE,,,
,,Naama,Physiological Effect,Health Effect,Health Condition,System Disorder,Immune System Disorder,,,,,,Anaphylaxis,"A disorder characterized by an acute inflammatory reaction resulting from the release of histamine and histamine-like substances from mast cells, causing a hypersensitivity immune response. Clinically, it presents with breathing difficulty, dizziness, hypotension, cyanosis and loss of consciousness and may lead to death. (NCI CTCAE)",,Anaphylactoid; anaphylactic shock,,,,,,,,,,NCI CTCAE,,,
Modify,8-Nov-17,Naama,Physiological Effect,Health Effect,Health Condition,System Disorder,Immune System Disorder,,,,,,Autoimmune disorder,"A disorder resulting from loss of function or tissue destruction of an organ or multiple organs, arising from humoral or cellular immune responses of the individual to his own tissue constituents. (NCI CTCAE)",immune system,Autoimmunity,,,,,,,,,,NCI CTCAE,,,
Modify,21-Jan-18,Naama,Physiological Effect,Health Effect,Health Condition,System Disorder,Immune System Disorder,,,,,,Cow milk allergy,A milk allergy triggered by Bos taurus milk. (DO),,Cow milk allergy (DOID:0060521),,,,DOID:0060521,,,,,,Disease Ontology (DO),,,
Modify,23-04-18,Zach,Physiological Effect,Health Effect,Health Condition,System Disorder,Immune System Disorder,,,,,,Febrile neutropenia,A disorder characterized by the development of a fever in a patient with neutropenia.,,,,,,,,,,,,NCI thesaurus,,,
Modify,23-04-18,Zach,Physiological Effect,Health Effect,Health Condition,System Disorder,Immune System Disorder,,,,,,Immunodeficiency,A disorder characterized by the inability of the body from fighting off infections and diseases.,immune system,ID,,,,,,,,,human-phenotype-ontology,,,,
,,Naama,Physiological Effect,Health Effect,Health Condition,Infection or Infestation; System Disorder,Male Reproductive System Disorder,,,,,,Prostate infection,A disorder characterized by an infectious process involving the prostate gland. (NCI CTCAE),prostate gland,,,,,,,,,,,NCI CTCAE,,,
,,Naama,Physiological Effect,Health Effect,Health Condition,System Disorder; Cancer,Male Reproductive System Disorder,,,,,,Prostate cancer,A male reproductive organ cancer that is located in the prostate. (DO),prostate gland,Prostate neoplasm,,,,DOID:10283,,,,,HMDB,Disease Ontology (DO),,,
,,Naama,Physiological Effect,Health Effect,Health Condition,Mental or Behavioural Disorder,Mood (affective) Disorder,,,,,,Apathy,"A disorder characterized lack of interest, enthusiasm or concern by an individual. Commonly associated with depression, alzheimer's disorder, anxiety, PTSD, and numerous other psychiatric disorders.",,,,,,,,,,,human-phenotype-ontology,,,,
,,Naama,Physiological Effect,Health Effect,Health Condition,Mental or Behavioural Disorder,Mood (affective) Disorder,,,,,,Bipolar disorder,A mood disorder that involves alternating periods of mania and depression. (DO),,manic depression,,,,DOID:3312,,,,,HMDB,Disease Ontology (DO),,,
,,Naama,Physiological Effect,Health Effect,Health Condition,Mental or Behavioural Disorder,Mood (affective) Disorder,,,,,,Depression,A disorder characterized by melancholic feelings of grief or unhappiness. (NCI CTCAE),,major depressive disorder,,,,,,,,,,NCI CTCAE,,,
,,Naama,Physiological Effect,Health Effect,Health Condition,Mental or Behavioural Disorder,Mood (affective) Disorder,,,,,,Major depressive disorder,"An endogenous depression that is characterized by an all-encompassing low mood accompanied by low self-esteem, and by loss of interest or pleasure in normally enjoyable activities. (DO)",,Depression; Unipolar disorder; Unipolar depression; Major depression; Clinical depression,,,,DOID:1470,,,,,HMDB,Disease Ontology (DO),,,
,,Naama,Physiological Effect,Health Effect,Health Condition,Mental or Behavioural Disorder,Mood (affective) Disorder,,,,,,Mania,"A disorder characterized by excitement of psychotic proportions manifested by mental and physical hyperactivity, disorganization of behavior and elevation of mood. (NCI CTCAE)",,manic syndrome,,,,,,,,,,NCI CTCAE,,,
Modify,23-04-18,Zach,Physiological Effect,Health Effect,Health Condition,System Disorder,Musculoskeletal System Disorder,,,,,,Fibromyalgia,"A disorder characterized by widespread musculoskeletal pain accompanied by fatigue, sleep, memory and mood issues.",,FMS; Fibrositis; Fibromyositis; Fibromyalgia syndrome,,,,,,,,,HMDB,,,,
,,Naama,Physiological Effect,Health Effect,Health Condition,System Disorder; Cancer,Musculoskeletal System Disorder,,,,,,Fibrosarcoma,A connective tissue cancer that has material basis in fibrous connective tissue and characterized by the presence of immature proliferating fibroblasts or undifferentiated anaplastic spindle cells in a storiform pattern. (DO),,,,,,DOID:3355,,,,,,Disease Ontology (DO),,,
Modify,23-04-18,Zach,Physiological Effect,Health Effect,Health Condition,System Disorder,Musculoskeletal System Disorder,,,,,,Rachialgia,A disorder characterized as pain in the vertebrae as seen in tuberculosis sponditis.,,Pott's disease,,,,,,,,,HMDB,,,,
Modify,23-04-18,Zach,Physiological Effect,Health Effect,Health Condition,System Disorder,Musculoskeletal System Disorder,,,,,,Rhabdomyolysis,"A disorder characterized by a rapid break down of damaged skeletal muscle causing muscle pains, weakness, vomiting, and confusion.",skeletal muscle,,,,,,,,,,HMDB,,,,
Modify,23-04-18,Zach,Physiological Effect,Health Effect,Health Condition,Infection or Infestation; System Disorder,Nervous System Disorder,,,,,,Neuroinfection,A neurological disorder characterized by pathogenic infection of the nervous system.,nervous system,Neuroinfectious Disease,,,,,,,,,HMDB,,,,
,,Naama,Physiological Effect,Health Effect,Health Condition,System Disorder,Nervous System Disorder,,,,Peripheral Neuropathy,,Mononeuropathy,"A neuropathy that is characterized by damage to a single nerve, which results in loss of movement, sensation, or other function of that nerve. (DO)",neuron,Peripheral mononeuropathy,,,,DOID:1188,,,,,HMDB,Disease Ontology (DO),,,
,,Naama,Physiological Effect,Health Effect,Health Condition,System Disorder,Nervous System Disorder,,,,,,Ataxia,A disorder characterized by lack of coordination of muscle movements resulting in the impairment or inability to perform voluntary activities. (NCI CTCAE),,,,,,,,,,,,NCI CTCAE,,,
Modify,8-Nov-17,Naama,Physiological Effect,Health Effect,Health Condition,System Disorder,Nervous System Disorder,,,,,,Cognitive disorder,A disorder characterized by a conspicuous change in cognitive function. (NCI CTCAE),,Cognitive disturbance; Cognitive impairment,,,,,,,,,HMDB,NCI CTCAE,,,
Modify,19-Jan-18,Naama,Physiological Effect,Health Effect,Health Condition,System Disorder,Nervous System Disorder,,,,,,Coma,"A state of profound unconsciousness associated with markedly depressed cerebral activity. Causes include central nervous system damage, intoxication, and metabolic abnormalities.",,,,,,C34497,,,,,,NCI thesaurus,,,
,,,Physiological Effect,Health Effect,Health Condition,System Disorder,Nervous System Disorder,Central Nervous System,,,,,Alzheimer's Disease,"A neurodegenerative disease which causes neural atrophy, leading to dementia and memory loss.",,Alzheimer's,,,,,,,,,,,,,
Modify,23-04-18,Zach,Physiological Effect,Health Effect,Health Condition,System Disorder,Nervous System Disorder,,,,,,Demyelination,A condition in which the myelin sheath of neurons has been damaged.,myelin; neuron,,,,,,,,,,,NCI thesaurus,,,
Modify,23-04-18,Zach,Physiological Effect,Health Effect,Health Condition,System Disorder,Nervous System Disorder,,,,,,Hypomyelination,A disorder characterized as abnormally low levels of myelin surrounding neurons.,myelin; neuron,,,,,,,,,,HMDB,,,,
